State,City
North Dakota,West Fargo
Ohio,Akron
Oklahoma,Edmond
Oregon,Hillsboro
Pennsylvania,Reading
Puerto Rico,Caguas
Rhode Island,East Providence
South Carolina,Rock Hill
South Dakota,Watertown
Tennessee,Clarksville
Texas,Fort Worth
Utah,Orem
Vermont,Bennington
Virgin Islands (U.S.),Southcentral
Virginia,Arlington
Washington,Bellevue
West Virginia,Wheeling
Wisconsin,Racine
Wyoming,Rock Springs
