YEAR,WHYMOVE,MIGSTA1
2017,"Wanted to own home, not rent",Massachusetts
2017,"Wanted to own home, not rent",Massachusetts
2017,Wanted new or better housing,Massachusetts
2017,New job or job transfer,Massachusetts
2017,New job or job transfer,Massachusetts
2017,Other family reason,Texas
2017,"Wanted to own home, not rent",Texas
2017,"Wanted to own home, not rent",Texas
2017,Other reasons,Wisconsin
2017,Other reasons,Wisconsin
2017,Other reasons,Wisconsin
2017,Other reasons,Wisconsin
2017,Other reasons,Wisconsin
2017,Other job-related reason,New Hampshire
2017,Other job-related reason,New Hampshire
2017,Retired,Florida
2017,New job or job transfer,Kansas
2017,New job or job transfer,Ohio
2017,New job or job transfer,Ohio
2017,New job or job transfer,Ohio
2017,New job or job transfer,Ohio
2017,New job or job transfer,Kansas
2017,"Wanted to own home, not rent",New Hampshire
2017,"Wanted to own home, not rent",New Hampshire
2017,"Wanted to own home, not rent",New Hampshire
2017,Foreclosure or eviction,California
2017,Foreclosure or eviction,California
2017,New job or job transfer,Texas
2017,New job or job transfer,Texas
2017,Other housing reason,California
2017,Other reasons,Connecticut
2017,Other housing reason,New Jersey
2017,Other reasons,Maine
2017,Wanted new or better housing,Maine
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,Other family reason,New Hampshire
2017,Other job-related reason,Texas
2017,Attend/leave college,New York
2017,Attend/leave college,Vermont
2017,New job or job transfer,New York
2017,Wanted new or better housing,Virginia
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,Pennsylvania
2017,Other reasons,Pennsylvania
2017,Attend/leave college,Florida
2017,Attend/leave college,Virginia
2017,New job or job transfer,Illinois
2017,New job or job transfer,Illinois
2017,Other family reason,Connecticut
2017,Other family reason,Connecticut
2017,"Wanted to own home, not rent",Illinois
2017,"Wanted to own home, not rent",Illinois
2017,"Wanted to own home, not rent",Illinois
2017,"Wanted to own home, not rent",Illinois
2017,"Wanted to own home, not rent",Illinois
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,Other family reason,Utah
2017,Other family reason,Utah
2017,Attend/leave college,New Hampshire
2017,Attend/leave college,Virginia
2017,New job or job transfer,Rhode Island
2017,New job or job transfer,Rhode Island
2017,New job or job transfer,Rhode Island
2017,New job or job transfer,Rhode Island
2017,New job or job transfer,Rhode Island
2017,To establish own household,Rhode Island
2017,New job or job transfer,Maryland
2017,New job or job transfer,Maryland
2017,New job or job transfer,Maryland
2017,New job or job transfer,Maryland
2017,Other family reason,New York
2017,Other family reason,New York
2017,New job or job transfer,Florida
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,For easier commute,Massachusetts
2017,For easier commute,Massachusetts
2017,Other housing reason,Florida
2017,Other family reason,Alaska
2017,Other reasons,Florida
2017,Wanted new or better housing,Massachusetts
2017,Wanted new or better housing,Massachusetts
2017,Wanted new or better housing,Massachusetts
2017,For easier commute,Massachusetts
2017,New job or job transfer,Massachusetts
2017,New job or job transfer,Massachusetts
2017,New job or job transfer,Connecticut
2017,Attend/leave college,Tennessee
2017,Attend/leave college,New York
2017,Other housing reason,Nevada
2017,To establish own household,New York
2017,To look for work or lost job,New York
2017,New job or job transfer,Tennessee
2017,New job or job transfer,Tennessee
2017,New job or job transfer,Tennessee
2017,New job or job transfer,Tennessee
2017,New job or job transfer,Tennessee
2017,New job or job transfer,Tennessee
2017,New job or job transfer,Tennessee
2017,New job or job transfer,Georgia
2017,New job or job transfer,Georgia
2017,New job or job transfer,New Jersey
2017,New job or job transfer,California
2017,New job or job transfer,California
2017,New job or job transfer,California
2017,Other housing reason,California
2017,Other family reason,Ohio
2017,Other family reason,Massachusetts
2017,Other family reason,Massachusetts
2017,Other family reason,Massachusetts
2017,Other family reason,Massachusetts
2017,Other family reason,North Carolina
2017,Attend/leave college,California
2017,Attend/leave college,California
2017,Other family reason,North Carolina
2017,Other family reason,Rhode Island
2017,Other family reason,Rhode Island
2017,Other family reason,Rhode Island
2017,Other family reason,Rhode Island
2017,Change of climate,North Carolina
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,North Carolina
2017,Other family reason,Mississippi
2017,Other reasons,Mississippi
2017,Attend/leave college,Illinois
2017,Change of climate,Virginia
2017,New job or job transfer,South Carolina
2017,New job or job transfer,South Carolina
2017,Wanted new or better housing,South Carolina
2017,Wanted new or better housing,South Carolina
2017,Wanted new or better housing,South Carolina
2017,Wanted new or better housing,South Carolina
2017,Wanted new or better housing,South Carolina
2017,New job or job transfer,Maryland
2017,New job or job transfer,Texas
2017,Other family reason,Colorado
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,Other family reason,Florida
2017,Other family reason,Florida
2017,Other family reason,Florida
2017,Other family reason,Florida
2017,Change in marital status,Georgia
2017,Change in marital status,Georgia
2017,Wanted new or better housing,Connecticut
2017,Wanted new or better housing,Connecticut
2017,Wanted new or better housing,Connecticut
2017,Wanted new or better housing,Connecticut
2017,Wanted new or better housing,Connecticut
2017,Wanted new or better housing,Connecticut
2017,Wanted new or better housing,Connecticut
2017,Wanted new or better housing,Connecticut
2017,Wanted new or better housing,Connecticut
2017,New job or job transfer,Washington
2017,New job or job transfer,Washington
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Connecticut
2017,New job or job transfer,Washington
2017,New job or job transfer,Washington
2017,New job or job transfer,Washington
2017,New job or job transfer,Washington
2017,Wanted new or better housing,Washington
2017,New job or job transfer,Texas
2017,Retired,Pennsylvania
2017,Retired,Pennsylvania
2017,Retired,Pennsylvania
2017,New job or job transfer,Colorado
2017,New job or job transfer,Colorado
2017,New job or job transfer,Colorado
2017,New job or job transfer,Colorado
2017,New job or job transfer,Colorado
2017,New job or job transfer,Colorado
2017,New job or job transfer,Colorado
2017,New job or job transfer,Colorado
2017,New job or job transfer,Colorado
2017,New job or job transfer,Alabama
2017,New job or job transfer,Alabama
2017,New job or job transfer,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Other family reason,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Other family reason,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,Change in marital status,New York
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Tennessee
2017,New job or job transfer,Florida
2017,For cheaper housing,New York
2017,New job or job transfer,Georgia
2017,New job or job transfer,Georgia
2017,New job or job transfer,Ohio
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,Ohio
2017,New job or job transfer,Ohio
2017,New job or job transfer,Ohio
2017,New job or job transfer,Ohio
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,Pennsylvania
2017,To establish own household,New York
2017,To establish own household,Connecticut
2017,Other family reason,Texas
2017,Other family reason,District of Columbia
2017,For easier commute,Delaware
2017,For easier commute,Delaware
2017,For easier commute,Delaware
2017,For easier commute,Delaware
2017,To look for work or lost job,Pennsylvania
2017,Wanted better neighborhood,Pennsylvania
2017,Other job-related reason,California
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,For easier commute,New York
2017,For easier commute,New York
2017,For easier commute,New York
2017,For easier commute,New York
2017,To look for work or lost job,New York
2017,To look for work or lost job,New York
2017,For easier commute,California
2017,For easier commute,California
2017,For easier commute,California
2017,Wanted new or better housing,New York
2017,New job or job transfer,Texas
2017,New job or job transfer,Maryland
2017,New job or job transfer,Maryland
2017,Other family reason,Hawaii
2017,Change in marital status,North Carolina
2017,Other housing reason,Maryland
2017,Other housing reason,Maryland
2017,Other housing reason,Maryland
2017,Other reasons,Maryland
2017,New job or job transfer,Georgia
2017,New job or job transfer,Georgia
2017,New job or job transfer,Georgia
2017,Other housing reason,Georgia
2017,Other housing reason,Georgia
2017,Attend/leave college,Georgia
2017,Attend/leave college,Georgia
2017,New job or job transfer,Texas
2017,New job or job transfer,Massachusetts
2017,Attend/leave college,Maryland
2017,Attend/leave college,California
2017,Attend/leave college,California
2017,Other housing reason,New Jersey
2017,New job or job transfer,Maryland
2017,Other family reason,North Carolina
2017,Other family reason,North Carolina
2017,Other family reason,North Carolina
2017,Other family reason,North Carolina
2017,Other reasons,New Jersey
2017,New job or job transfer,California
2017,New job or job transfer,California
2017,New job or job transfer,California
2017,New job or job transfer,California
2017,New job or job transfer,Texas
2017,To establish own household,Rhode Island
2017,Other reasons,Arizona
2017,Other family reason,Florida
2017,To establish own household,Wisconsin
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,Change in marital status,New Jersey
2017,New job or job transfer,Florida
2017,New job or job transfer,Michigan
2017,New job or job transfer,Illinois
2017,To establish own household,Alaska
2017,To establish own household,Wisconsin
2017,To establish own household,Wisconsin
2017,To establish own household,Wisconsin
2017,Other job-related reason,Texas
2017,Wanted better neighborhood,Maryland
2017,New job or job transfer,Maryland
2017,For cheaper housing,Georgia
2017,For easier commute,Michigan
2017,Change in marital status,Alabama
2017,Attend/leave college,Nevada
2017,Attend/leave college,Florida
2017,New job or job transfer,Kentucky
2017,Other family reason,California
2017,Other family reason,California
2017,Other family reason,California
2017,New job or job transfer,Texas
2017,New job or job transfer,Texas
2017,New job or job transfer,Texas
2017,Other family reason,Texas
2017,New job or job transfer,Kentucky
2017,New job or job transfer,Kentucky
2017,New job or job transfer,Kentucky
2017,For cheaper housing,California
2017,For cheaper housing,California
2017,Other family reason,Texas
2017,Other family reason,Texas
2017,Other family reason,Texas
2017,Other family reason,Texas
2017,Other family reason,Texas
2017,Other housing reason,Illinois
2017,Other housing reason,Michigan
2017,Other housing reason,Michigan
2017,Wanted new or better housing,Illinois
2017,Wanted new or better housing,Illinois
2017,Wanted new or better housing,Illinois
2017,To establish own household,Illinois
2017,To establish own household,Illinois
2017,Other family reason,Illinois
2017,Change in marital status,Illinois
2017,New job or job transfer,Georgia
2017,Change in marital status,California
2017,Change in marital status,California
2017,New job or job transfer,Missouri
2017,New job or job transfer,Missouri
2017,New job or job transfer,Missouri
2017,Other family reason,Illinois
2017,New job or job transfer,Utah
2017,New job or job transfer,Utah
2017,New job or job transfer,Utah
2017,New job or job transfer,Utah
2017,New job or job transfer,Utah
2017,New job or job transfer,Utah
2017,New job or job transfer,Utah
2017,New job or job transfer,Utah
2017,New job or job transfer,Utah
2017,Other family reason,Florida
2017,Other family reason,Georgia
2017,Change of climate,Florida
2017,Change of climate,Florida
2017,Change of climate,Florida
2017,Other reasons,Kentucky
2017,Other reasons,Kentucky
2017,Other housing reason,Indiana
2017,Other housing reason,Indiana
2017,Other housing reason,Indiana
2017,Other family reason,Indiana
2017,Other family reason,Missouri
2017,Other family reason,Missouri
2017,New job or job transfer,Arizona
2017,New job or job transfer,Arizona
2017,New job or job transfer,Arizona
2017,New job or job transfer,Arizona
2017,Wanted new or better housing,Arizona
2017,Other housing reason,Indiana
2017,Change in marital status,California
2017,Attend/leave college,Georgia
2017,Other family reason,Minnesota
2017,Attend/leave college,Pennsylvania
2017,For easier commute,Wisconsin
2017,Wanted new or better housing,Pennsylvania
2017,For easier commute,Wisconsin
2017,For cheaper housing,Colorado
2017,Other housing reason,Colorado
2017,New job or job transfer,Indiana
2017,New job or job transfer,Indiana
2017,For cheaper housing,Indiana
2017,For cheaper housing,Indiana
2017,New job or job transfer,Michigan
2017,New job or job transfer,New Jersey
2017,New job or job transfer,New Jersey
2017,New job or job transfer,Michigan
2017,Wanted new or better housing,New Jersey
2017,Wanted new or better housing,New Jersey
2017,Wanted new or better housing,New Jersey
2017,Wanted new or better housing,New Jersey
2017,Wanted new or better housing,New Jersey
2017,Change in marital status,Wisconsin
2017,Other reasons,New Jersey
2017,Other reasons,New Jersey
2017,Other reasons,New Jersey
2017,Other reasons,New Jersey
2017,Other reasons,New Jersey
2017,Other reasons,New Jersey
2017,Wanted new or better housing,New Jersey
2017,For easier commute,Wisconsin
2017,Other housing reason,New Jersey
2017,Other housing reason,New Jersey
2017,Attend/leave college,Texas
2017,Attend/leave college,Texas
2017,Change in marital status,Wisconsin
2017,Wanted new or better housing,Texas
2017,Wanted new or better housing,Texas
2017,Wanted new or better housing,Texas
2017,Wanted new or better housing,Texas
2017,New job or job transfer,Florida
2017,Other housing reason,Wisconsin
2017,Other housing reason,Wisconsin
2017,Other housing reason,Wisconsin
2017,Other family reason,Virginia
2017,Other family reason,Virginia
2017,Other family reason,Virginia
2017,Other family reason,Virginia
2017,New job or job transfer,Wisconsin
2017,To establish own household,New York
2017,To establish own household,New York
2017,To establish own household,New York
2017,Other reasons,Michigan
2017,To look for work or lost job,Florida
2017,Other family reason,Pennsylvania
2017,Other family reason,Pennsylvania
2017,Other housing reason,Pennsylvania
2017,Other housing reason,Pennsylvania
2017,To look for work or lost job,Missouri
2017,New job or job transfer,Missouri
2017,New job or job transfer,Missouri
2017,New job or job transfer,Missouri
2017,New job or job transfer,Missouri
2017,Other family reason,Arizona
2017,Other housing reason,Arizona
2017,Other housing reason,Arizona
2017,Other housing reason,Arizona
2017,Wanted new or better housing,Iowa
2017,New job or job transfer,Missouri
2017,New job or job transfer,Missouri
2017,New job or job transfer,Missouri
2017,New job or job transfer,Missouri
2017,Other family reason,Arkansas
2017,Other family reason,Arkansas
2017,New job or job transfer,Louisiana
2017,New job or job transfer,Louisiana
2017,New job or job transfer,Louisiana
2017,New job or job transfer,Louisiana
2017,To look for work or lost job,Texas
2017,To look for work or lost job,Texas
2017,Wanted better neighborhood,Mississippi
2017,Wanted better neighborhood,Mississippi
2017,Wanted better neighborhood,Mississippi
2017,Wanted better neighborhood,Mississippi
2017,Wanted better neighborhood,Mississippi
2017,Wanted better neighborhood,Mississippi
2017,New job or job transfer,Texas
2017,New job or job transfer,Texas
2017,New job or job transfer,Texas
2017,New job or job transfer,Texas
2017,New job or job transfer,New York
2017,New job or job transfer,New York
2017,Foreclosure or eviction,Illinois
2017,Foreclosure or eviction,Illinois
2017,Foreclosure or eviction,Illinois
2017,Other family reason,Kansas
2017,Other family reason,Kansas
2017,New job or job transfer,Louisiana
2017,New job or job transfer,Louisiana
2017,New job or job transfer,Mississippi
2017,For easier commute,Mississippi
2017,For easier commute,Mississippi
2017,Other family reason,Georgia
2017,Health reasons,Alaska
2017,New job or job transfer,Indiana
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,Pennsylvania
2017,New job or job transfer,California
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,Wanted new or better housing,Florida
2017,New job or job transfer,Colorado
2017,Retired,California
2017,For cheaper housing,Michigan
2017,For cheaper housing,Michigan
2017,To establish own household,Minnesota
2017,To establish own household,Minnesota
2017,To establish own household,Minnesota
2017,Change in marital status,Illinois
2017,Wanted new or better housing,South Dakota
2017,Wanted new or better housing,South Dakota
2017,Health reasons,South Dakota
2017,Health reasons,South Dakota
2017,Health reasons,South Dakota
2017,Health reasons,South Dakota
2017,Health reasons,South Dakota
2017,Other reasons,Iowa
2017,Other family reason,Iowa
2017,Other family reason,Iowa
2017,Other family reason,Iowa
2017,New job or job transfer,Texas
2017,Wanted new or better housing,South Dakota
2017,Wanted new or better housing,South Dakota
2017,Wanted new or better housing,South Dakota
2017,New job or job transfer,Michigan
2017,New job or job transfer,Michigan
2017,New job or job transfer,Michigan
2017,To establish own household,Illinois
2017,Other family reason,Ohio
2017,Other family reason,Georgia
2017,Retired,New York
2017,Retired,New York
2017,Retired,New York
2017,Retired,New York
2017,Retired,New York
2017,Other family reason,New York
2017,Retired,Virginia
2017,Other reasons,Illinois
2017,Other reasons,Illinois
2017,Other family reason,Illinois
2017,Other family reason,Illinois
2017,Other family reason,Montana
2017,Other family reason,Montana
2017,Other family reason,North Dakota
2017,For cheaper housing,Wisconsin
2017,Wanted new or better housing,Wisconsin
2017,Wanted new or better housing,Wisconsin
2017,Other family reason,Illinois
2017,Other family reason,Illinois
2017,New job or job transfer,Michigan
2017,Other family reason,Oklahoma
2017,Change of climate,Ohio
2017,Change of climate,Ohio
2017,Change of climate,Ohio
2017,To establish own household,Michigan
2017,To establish own household,Michigan
2017,Other reasons,Indiana
2017,New job or job transfer,Illinois
2017,New job or job transfer,Illinois
2017,Other family reason,Ohio
2017,Other family reason,North Dakota
2017,Other family reason,North Dakota
2017,Other family reason,North Dakota
2017,Other family reason,North Dakota
2017,Other family reason,North Dakota
2017,Other family reason,North Dakota
2017,Other family reason,North Dakota
2017,Other family reason,North Dakota
2017,Other family reason,North Dakota
2017,Other family reason,North Dakota
2017,Other family reason,Utah
2017,Change in marital status,Iowa
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,Other family reason,Minnesota
2017,Other family reason,Minnesota
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Georgia
2017,Other family reason,Pennsylvania
2017,Other family reason,Pennsylvania
2017,Other family reason,Pennsylvania
2017,New job or job transfer,Michigan
2017,New job or job transfer,Minnesota
2017,New job or job transfer,New York
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,New job or job transfer,North Carolina
2017,New job or job transfer,Arkansas
2017,New job or job transfer,Arkansas
2017,New job or job transfer,Arkansas
2017,New job or job transfer,Arkansas
2017,New job or job transfer,Arkansas
2017,For easier commute,Arkansas
2017,To establish own household,Arkansas
2017,Other reasons,Arkansas
2017,To establish own household,Arkansas
2017,Other housing reason,Iowa
2017,Other family reason,Kansas
2017,Other family reason,Kansas
2017,Other job-related reason,Nebraska
2017,For cheaper housing,Kansas
2017,For cheaper housing,Kansas
2017,For cheaper housing,Kansas
2017,Other reasons,Kansas
2017,For cheaper housing,Kansas
2017,Other family reason,Texas
2017,To look for work or lost job,Texas
2017,To establish own household,Tennessee
2017,For cheaper housing,Texas
2017,For cheaper housing,Texas
2017,For cheaper housing,Texas
2017,Wanted better neighborhood,Tennessee
2017,For cheaper housing,Texas
2017,For cheaper housing,Texas
2017,Other family reason,Kansas
2017,Other family reason,Kansas
2017,New job or job transfer,North Carolina
2017,Wanted new or better housing,Kansas
2017,Wanted new or better housing,Kansas
2017,Other reasons,Kansas
2017,Other reasons,Kansas
2017,Other reasons,Kansas
2017,Other reasons,Kansas
2017,Change of climate,Pennsylvania
2017,Change of climate,Pennsylvania
2017,New job or job transfer,Kentucky
2017,New job or job transfer,Kentucky
2017,New job or job transfer,Kentucky
2017,Other family reason,Texas
2017,Other housing reason,Arizona
2017,Wanted better neighborhood,Kansas
2017,Wanted better neighborhood,Kansas
2017,Other family reason,New York
2017,Other family reason,New York
2017,Other family reason,New York
2017,Health reasons,Maryland
2017,New job or job transfer,Maryland
2017,New job or job transfer,Maryland
2017,New job or job transfer,Maryland
2017,Other family reason,Montana
2017,Attend/leave college,Minnesota
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,To look for work or lost job,Michigan
2017,To look for work or lost job,Michigan
2017,Other family reason,Minnesota
2017,New job or job transfer,Arkansas
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,New job or job transfer,Wisconsin
2017,New job or job transfer,South Dakota
2017,New job or job transfer,South Dakota
2017,New job or job transfer,Iowa
2017,To establish own household,Nevada
2017,Change in marital status,Arkansas
2017,New job or job transfer,Montana
2017,New job or job transfer,Montana
2017,New job or job transfer,Montana
2017,New job or job transfer,Montana
2017,Wanted new or better housing,Minnesota
2017,Wanted new or better housing,Minnesota
2017,Wanted new or better housing,Minnesota
2017,Other family reason,Oregon
2017,Other family reason,Oregon
2017,Other family reason,South Carolina
2017,Other family reason,South Carolina
2017,New job or job transfer,Colorado
2017,Other reasons,Oregon
2017,Other reasons,Oregon
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,New job or job transfer,Minnesota
2017,Other family reason,New York
2017,Other family reason,New York
2017,Other family reason,New York
2017,Other family reason,New York
2017,New job or job transfer,Wisconsin
2017,Other family reason,Ohio
2017,Other family reason,Ohio
2017,Other family reason,Ohio
2017,Other family reason,Ohio
2017,Other family reason,Ohio
2017,To look for work or lost job,Texas
2017,To look for work or lost job,Texas
2017,New job or job transfer,North Dakota
2017,New job or job transfer,Oklahoma
2017,New job or job transfer,Oklahoma
2017,New job or job transfer,Arizona
2017,New job or job transfer,Arizona
2017,New job or job transfer,Arizona
2017,New job or job transfer,Arizona
2017,For easier commute,Colorado
2017,For easier commute,Colorado
2017,For easier commute,Colorado
2017,Attend/leave college,Hawaii
2017,Attend/leave college,Minnesota
2017,Attend/leave college,Minnesota
2017,New job or job transfer,Colorado
2017,Other housing reason,Texas
2017,Health reasons,Iowa
2017,Health reasons,Iowa
2017,Wanted better neighborhood,Minnesota
2017,Health reasons,Wyoming
2017,Other family reason,Missouri
2017,Other family reason,Missouri
2017,New job or job transfer,Iowa
2017,New job or job transfer,Iowa
2017,Health reasons,Texas
2017,Other family reason,Texas
2017,Other family reason,Texas
2017,New job or job transfer,Texas
2017,New job or job transfer,Texas
2017,New job or job transfer,Texas
2017,Other family reason,Florida
2017,Attend/leave college,Montana
2017,Attend/leave college,Montana
2017,New job or job transfer,Arizona
2017,New job or job transfer,Arizona
2017,New job or job transfer,Arizona
2017,New job or job transfer,Arizona
2017,Wanted new or better housing,Arizona
2017,Other family reason,Oklahoma
2017,Other family reason,Arizona
2017,Other family reason,Arizona
2017,Other family reason,Arizona
2017,Other family reason,Arizona
2017,Other family reason,Kansas
2017,To establish own household,Oregon
2017,Other family reason,Arizona
2017,Other family reason,Arizona
2017,Other family reason,Arizona
2017,Other reasons,Kansas
2017,Other reasons,Kansas
2017,Health reasons,Alaska
2017,Health reasons,Alaska
2017,Health reasons,Alaska
2017,Health reasons,Alaska
2017,Other reasons,Iowa
2017,Other family reason,Colorado
2017,For easier commute,Colorado
2017,For easier commute,Colorado
2017,For easier commute,Colorado
2017,For easier commute,Colorado
2017,Other family reason,Arkansas
2017,Other family reason,Arkansas
2017,Other family reason,Arkansas
2017,Other family reason,Texas
2017,Other family reason,Texas
2017,Other family reason,Texas
2017,Other family reason,Texas
2017,Other family reason,Minnesota
2017,Health reasons,Texas
2017,New job or job transfer,Florida
2017,New job or job transfer,Florida
2017,Other job-related reason,Florida
2017,Other job-related reason,Florida
2017,Other job-related reason,Florida
2017,To establish own household,Florida
2017,To establish own household,Florida
2017,To establish own household,Florida
2017,For cheaper housing,California
2017,For cheaper housing,California
2017,Other family reason,Kansas
2017,Other family reason,Kansas
2017,Other family reason,Kansas
2017,Other family reason,Kansas
2017,Change in marital status,Colorado
2017,Other reasons,Wisconsin
2017,"Wanted to own home, not rent",Indiana
2017,"Wanted to own home, not rent",Indiana
2017,Other housing reason,Michigan
2017,Other housing reason,California
2017,Other housing reason,California
2017,Attend/leave college,Texas
2017,New job or job transfer,Kentucky
2017,Wanted better neighborhood,Missouri
2017,Wanted better neighborhood,Missouri
2017,Other family reason,Missouri
2017,Other family reason,Missouri
2017,New job or job transfer,Missouri
2017,New job or job transfer,Missouri
2017,Other job-related reason,Missouri
2017,Other job-related reason,Missouri
2017,Other job-related reason,Missouri
2017,For easier commute,Illinois
2017,Other family reason,Missouri
2017,To establish own household,Missouri
