YEAR,WHYMOVE,MIGSTA1,count
2017,Change of climate,Virginia,5982.98
2017,Wanted new or better housing,South Carolina,10229.58
2017,Other family reason,Colorado,22139.8
2017,Other family reason,Florida,40760.35
2017,Change in marital status,Georgia,8687.32
2017,Wanted new or better housing,Connecticut,18674.36
2017,New job or job transfer,Washington,22833.39
2017,Wanted new or better housing,Washington,1785.36
2017,Retired,Pennsylvania,12904.099999999999
2017,New job or job transfer,Colorado,75955.88
2017,New job or job transfer,Alabama,14085.15
2017,Change in marital status,New York,39236.16
2017,For cheaper housing,New York,12242.41
2017,To establish own household,Connecticut,3814.14
2017,Other family reason,District of Columbia,5036.15
2017,For easier commute,Delaware,6278.5999999999995
2017,To look for work or lost job,Pennsylvania,3746.73
2017,Wanted better neighborhood,Pennsylvania,2175.58
2017,Other job-related reason,California,19985.87
2017,For easier commute,New York,28090.78
2017,For easier commute,California,11630.75
2017,Wanted new or better housing,New York,19935.18
2017,Other family reason,Hawaii,39484.3
2017,Change in marital status,North Carolina,11529.650000000001
2017,Other housing reason,Maryland,13996.56
2017,Other reasons,Maryland,8442.57
2017,Other housing reason,Georgia,18850.03
2017,Attend/leave college,Georgia,13410.94
2017,Attend/leave college,Maryland,4655.51
2017,Other reasons,New Jersey,16038.57
2017,Other reasons,Arizona,5919.0199999999995
2017,To establish own household,Wisconsin,33291.84
2017,Change in marital status,New Jersey,40788.39
2017,To establish own household,Alaska,3841.02
2017,Wanted better neighborhood,Maryland,4291.94
2017,For cheaper housing,Georgia,5062.37
2017,For easier commute,Michigan,2746.59
2017,Change in marital status,Alabama,2957.4
2017,Attend/leave college,Nevada,8260.720000000001
2017,New job or job transfer,Kentucky,33013.52
2017,Other family reason,California,30293.899999999998
2017,For cheaper housing,California,40294.8
2017,Other housing reason,Illinois,10559.18
2017,Other housing reason,Michigan,6522.58
2017,Wanted new or better housing,Illinois,4499.049999999999
2017,To establish own household,Illinois,32631.94
2017,Other family reason,Illinois,29307.12
2017,Change in marital status,Illinois,10387.72
2017,Change in marital status,California,20962.71
2017,New job or job transfer,Missouri,56082.52
2017,New job or job transfer,Utah,22695.3
2017,Other family reason,Georgia,31717.73
2017,Change of climate,Florida,4865.87
2017,Other reasons,Kentucky,12973.95
2017,Other housing reason,Indiana,8316.49
2017,Other family reason,Indiana,5208.87
2017,Other family reason,Missouri,30695.95
2017,New job or job transfer,Arizona,53779.22
2017,Wanted new or better housing,Arizona,7033.83
2017,Other family reason,Minnesota,10843.26
2017,Attend/leave college,Pennsylvania,4667.41
2017,For easier commute,Wisconsin,10860.49
2017,Wanted new or better housing,Pennsylvania,3149.97
2017,For cheaper housing,Colorado,9086.83
2017,Other housing reason,Colorado,3740.7
2017,New job or job transfer,Indiana,40904.24
2017,For cheaper housing,Indiana,3097.12
2017,Wanted new or better housing,New Jersey,23587.12
2017,Change in marital status,Wisconsin,7938.92
2017,Attend/leave college,Texas,11475.65
2017,Wanted new or better housing,Texas,16317.470000000001
2017,Other housing reason,Wisconsin,5507.13
2017,Other family reason,Virginia,17403.62
2017,New job or job transfer,Wisconsin,7304.13
2017,Other reasons,Michigan,4907.46
2017,To look for work or lost job,Florida,6832.15
2017,Other family reason,Pennsylvania,29491.14
2017,Other housing reason,Pennsylvania,6812.52
2017,To look for work or lost job,Missouri,3482.48
2017,Other family reason,Arizona,21269.45
2017,Other housing reason,Arizona,8334.74
2017,Wanted new or better housing,Iowa,4203.05
2017,Other family reason,Arkansas,18693.64
2017,New job or job transfer,Louisiana,27734.8
2017,To look for work or lost job,Texas,26218.77
2017,Wanted better neighborhood,Mississippi,10081.119999999999
2017,Foreclosure or eviction,Illinois,7455.86
2017,Other family reason,Kansas,40472.83
2017,New job or job transfer,Mississippi,30693.23
2017,For easier commute,Mississippi,7437.66
2017,Health reasons,Alaska,7053.719999999999
2017,Wanted new or better housing,Florida,12902.35
2017,Retired,California,5229.04
2017,For cheaper housing,Michigan,6855.76
2017,To establish own household,Minnesota,4877.36
2017,Wanted new or better housing,South Dakota,24966.88
2017,Health reasons,South Dakota,8064.26
2017,Other reasons,Iowa,3388.8999999999996
2017,Other family reason,Iowa,11471.63
2017,Retired,New York,18420.05
2017,Retired,Virginia,13784.2
2017,Other reasons,Illinois,5867.6
2017,Other family reason,Montana,5716.629999999999
2017,Other family reason,North Dakota,36252.47
2017,For cheaper housing,Wisconsin,3328.34
2017,Wanted new or better housing,Wisconsin,6656.68
2017,Other family reason,Oklahoma,17513.43
2017,Change of climate,Ohio,4625.92
2017,To establish own household,Michigan,6427.38
2017,Change in marital status,Iowa,3583.87
2017,New job or job transfer,Arkansas,11986.26
2017,For easier commute,Arkansas,1957.21
2017,Other reasons,Arkansas,4772.37
2017,Other housing reason,Iowa,1814.9
2017,Other job-related reason,Nebraska,3350.7
2017,For cheaper housing,Kansas,7153.36
2017,Other reasons,Kansas,12876.300000000001
2017,To establish own household,Tennessee,10251.61
2017,For cheaper housing,Texas,15964.07
2017,Wanted better neighborhood,Tennessee,16849.51
2017,Wanted new or better housing,Kansas,4143.53
2017,Change of climate,Pennsylvania,13948.189999999999
2017,Wanted better neighborhood,Kansas,5234.48
2017,Health reasons,Maryland,6245.719999999999
2017,Attend/leave college,Minnesota,1887.3899999999999
2017,To look for work or lost job,Michigan,4407.03
2017,New job or job transfer,South Dakota,3819.4300000000003
2017,New job or job transfer,Iowa,6196.49
2017,To establish own household,Nevada,1932.29
2017,New job or job transfer,Montana,2108.45
2017,Wanted new or better housing,Minnesota,607.49
2017,Other family reason,Oregon,13182.48
2017,Other family reason,South Carolina,16071.26
2017,Other reasons,Oregon,5094.46
2017,New job or job transfer,North Dakota,1130.65
2017,New job or job transfer,Oklahoma,20627.06
2017,For easier commute,Colorado,5499.6
2017,Attend/leave college,Hawaii,2727.13
2017,Other housing reason,Texas,5420.55
2017,Health reasons,Iowa,1167.08
2017,Wanted better neighborhood,Minnesota,701.91
2017,Health reasons,Wyoming,296.12
2017,Health reasons,Texas,1547.36
2017,Attend/leave college,Montana,1018.44
2017,To establish own household,Oregon,21528.61
2017,Other job-related reason,Florida,2468.52
2017,To establish own household,Florida,4745.6900000000005
2017,Change in marital status,Colorado,3184.05
2017,"Wanted to own home, not rent",Indiana,1442.49
2017,Other job-related reason,Missouri,6699.5
2017,For easier commute,Illinois,5335.68
2017,To establish own household,Missouri,4489.48
2017,New job or job transfer,Virginia,60383.54
2017,Other housing reason,Tennessee,3593.6000000000004
2017,Health reasons,Massachusetts,1443
2017,To establish own household,Pennsylvania,872
2017,For easier commute,Maryland,9070.62
2017,Retired,Maryland,10469.7
2017,New job or job transfer,Oregon,31285.64
2017,For cheaper housing,Pennsylvania,4185.19
2017,New job or job transfer,District of Columbia,9499.62
2017,Wanted new or better housing,Delaware,15581.04
2017,"Wanted to own home, not rent",District of Columbia,2514.99
2017,Health reasons,District of Columbia,16159.25
2017,Wanted new or better housing,District of Columbia,2607.87
2017,Other job-related reason,Massachusetts,14967.9
2017,Health reasons,Virginia,7763.92
2017,For cheaper housing,District of Columbia,15971.62
2017,Other housing reason,District of Columbia,2133.09
2017,Other reasons,Virginia,987.88
2017,To look for work or lost job,Kentucky,2328.65
2017,To look for work or lost job,North Carolina,862.6300000000001
2017,For easier commute,Virginia,1497.3
2017,New job or job transfer,Alaska,23802.4
2017,New job or job transfer,Hawaii,35509.21
2017,Wanted better neighborhood,Hawaii,375.03
2017,To establish own household,Maryland,3388.57
2017,For easier commute,Hawaii,234.6
2017,Other housing reason,Virginia,542.38
2017,Other family reason,Maryland,1181.32
2017,Change in marital status,Virginia,3020.3999999999996
2017,"Wanted to own home, not rent",Maryland,245.7
2017,Other reasons,New York,4112.84
2017,Wanted better neighborhood,North Carolina,305.13
2017,Other housing reason,New York,376.54999999999995
2017,Wanted new or better housing,Maryland,8729.86
2017,Attend/leave college,Michigan,524.36
2017,Other job-related reason,New Jersey,194.94
2017,To look for work or lost job,Maryland,1312.8700000000001
2017,Other job-related reason,Alabama,6855.16
2017,Change in marital status,Texas,14132.36
2017,"Wanted to own home, not rent",New York,7088.44
2017,Other family reason,Alabama,3078.5299999999997
2017,To look for work or lost job,South Carolina,3192.15
2017,"Wanted to own home, not rent",Florida,12298.04
2017,For cheaper housing,Maryland,641.56
2017,For cheaper housing,Iowa,2840.48
2017,Other housing reason,Kentucky,28660.92
2017,Health reasons,New Jersey,611.66
2017,Other family reason,South Dakota,689.97
2017,Attend/leave college,Utah,5784.83
2017,Health reasons,New Hampshire,310.92
2017,To establish own household,Ohio,776.7
2017,Change in marital status,Missouri,6840.08
2017,Change in marital status,Kentucky,749.72
2017,Attend/leave college,Ohio,1353.8400000000001
2017,To establish own household,West Virginia,11413.130000000001
2017,Attend/leave college,South Carolina,6421.76
2017,Other reasons,South Dakota,5118.42
2017,For easier commute,South Carolina,10144.33
2017,To establish own household,South Carolina,6454.42
2017,Wanted better neighborhood,Georgia,4861.3099999999995
2017,For cheaper housing,Florida,24803.89
2017,Other job-related reason,Maryland,5210.0999999999995
2017,Change in marital status,Maryland,9558.76
2017,Other family reason,Wisconsin,8082.0999999999995
2017,To establish own household,North Carolina,7856.75
2017,Wanted new or better housing,California,15883.52
2017,Other family reason,Tennessee,19942.12
2017,Other reasons,North Carolina,10426.119999999999
2017,"Wanted to own home, not rent",North Carolina,9957.64
2017,Other housing reason,North Carolina,6374.88
2017,Other family reason,Kentucky,35544.090000000004
2017,To look for work or lost job,Georgia,1734.07
2017,Wanted better neighborhood,Alabama,3469.56
2017,To look for work or lost job,Illinois,2542.9
2017,To look for work or lost job,California,17144.81
2017,Attend/leave college,North Carolina,11437.65
2017,Attend/leave college,Alabama,5922.12
2017,Other reasons,New Mexico,8148.72
2017,To look for work or lost job,Louisiana,2585.99
2017,Change of climate,Illinois,33917.13
2017,Other family reason,Washington,15323.460000000001
2017,Retired,Ohio,6781.76
2017,For cheaper housing,North Carolina,2191.72
2017,Change of climate,Wisconsin,7962.64
2017,Change of climate,New Hampshire,3820.26
2017,For easier commute,Missouri,11754.71
2017,Wanted new or better housing,Kentucky,14057.29
2017,Other reasons,Georgia,41778.409999999996
2017,Change of climate,Rhode Island,3467.56
2017,Health reasons,Georgia,4660.18
2017,Retired,North Carolina,1610.6
2017,To establish own household,Georgia,10776.880000000001
2017,Other family reason,New Jersey,11492.92
2017,Foreclosure or eviction,Texas,2693.0299999999997
2017,For cheaper housing,Illinois,9828.58
2017,Health reasons,Illinois,19320.38
2017,Health reasons,Michigan,4376.08
2017,To look for work or lost job,Mississippi,2427.93
2017,Change in marital status,Tennessee,6675.4
2017,"Wanted to own home, not rent",West Virginia,2888.58
2017,For easier commute,Tennessee,6456.4
2017,Change in marital status,Florida,2128.74
2017,For easier commute,Connecticut,7413.700000000001
2017,Health reasons,Kentucky,8399.66
2017,To establish own household,Kentucky,11994.77
2017,"Wanted to own home, not rent",Georgia,5056.28
2017,Health reasons,Alabama,3304.96
2017,Other family reason,Michigan,3331.92
2017,Change in marital status,Mississippi,7266.54
2017,Other reasons,Ohio,7700.36
2017,To establish own household,Utah,7439.64
2017,Change of climate,Georgia,1775.5
2017,Other job-related reason,Georgia,5741.99
2017,Retired,Wisconsin,2147.94
2017,Wanted new or better housing,Alaska,1905.41
2017,Foreclosure or eviction,Florida,1092.39
2017,Other reasons,Texas,2337.91
2017,Foreclosure or eviction,Louisiana,4981.13
2017,Health reasons,Louisiana,721.39
2017,For easier commute,Alabama,1304.4499999999998
2017,Attend/leave college,Louisiana,4103.19
2017,New job or job transfer,New Mexico,12845.8
2017,Other family reason,Louisiana,9342.7
2017,"Wanted to own home, not rent",Arizona,1996.83
2017,Retired,Arizona,2360.1400000000003
2017,Attend/leave college,Oklahoma,6690.16
2017,To establish own household,Mississippi,12042.93
2017,To establish own household,Arizona,10063.18
2017,To establish own household,California,22815.19
2017,Health reasons,Indiana,1155.33
2017,Change in marital status,Oklahoma,32249.96
2017,To look for work or lost job,Alabama,2773.14
2017,Change in marital status,Ohio,1349.01
2017,Other job-related reason,Washington,7646
2017,Other job-related reason,New York,3075.3
2017,To establish own household,Iowa,2802.76
2017,Other reasons,Colorado,12979.880000000001
2017,Change in marital status,Kansas,5025.65
2017,To establish own household,Kansas,928.03
2017,To establish own household,Oklahoma,20069.07
2017,Other reasons,Oklahoma,2631.24
2017,Wanted new or better housing,Georgia,5797.36
2017,To look for work or lost job,Oklahoma,15800.31
2017,Other reasons,Louisiana,2245.12
2017,Change in marital status,Michigan,2328.47
2017,Change in marital status,Nevada,4496.58
2017,Health reasons,Washington,5472.96
2017,For cheaper housing,New Mexico,1687.08
2017,Other family reason,New Mexico,3863.57
2017,To look for work or lost job,Massachusetts,4525.5
2017,To look for work or lost job,Nevada,4914.5
2017,Change of climate,Colorado,5140.2
2017,Other job-related reason,Illinois,5829.4000000000005
2017,Other reasons,Washington,1825.77
2017,For cheaper housing,Washington,349.71000000000004
2017,Change in marital status,Oregon,2834.73
2017,Other family reason,Nebraska,9432.93
2017,Retired,Oklahoma,1160.21
2017,Retired,Illinois,1603.97
2017,New job or job transfer,Nevada,19707.260000000002
2017,Other reasons,Hawaii,9814.689999999999
2017,Other job-related reason,Oregon,494.64
2017,Other job-related reason,Wyoming,378.49
2017,New job or job transfer,Idaho,10735.34
2017,Other family reason,Idaho,22505.87
2017,Other reasons,Missouri,729.36
2017,Retired,Texas,1669.93
2017,Other housing reason,Missouri,813.18
2017,Change in marital status,Utah,1069.06
2017,To establish own household,New Jersey,1851.84
2017,Attend/leave college,Indiana,1734.76
2017,Attend/leave college,Oregon,6997.280000000001
2017,Other housing reason,Utah,1743.36
2017,Other reasons,Utah,8743.97
2017,To establish own household,Nebraska,1201.45
2017,Health reasons,California,2850.02
2017,"Wanted to own home, not rent",California,3100.47
2017,Change in marital status,Washington,753.19
2017,Change of climate,California,8732.27
2017,Change in marital status,Nebraska,282.22
2017,Attend/leave college,Kansas,374.36
2017,New job or job transfer,Nebraska,970.9
2017,Wanted new or better housing,Nebraska,310.41
2017,"Wanted to own home, not rent",Colorado,1652.66
2017,To establish own household,North Dakota,547.36
2017,To establish own household,Colorado,1140.5
2017,Health reasons,Nevada,379.31
2017,"Wanted to own home, not rent",Idaho,825.1
2017,Other job-related reason,Kansas,497.42
2017,Attend/leave college,Colorado,3678.1800000000003
2017,Attend/leave college,Washington,6535.5599999999995
2017,For easier commute,Oklahoma,6944.58
2017,For cheaper housing,Virginia,13614.529999999999
2017,For cheaper housing,Arizona,801.18
2017,To look for work or lost job,Nebraska,1184.15
2017,For easier commute,Texas,5290.96
2017,Change of climate,Massachusetts,4445.09
2017,Health reasons,New York,3599.04
2017,Attend/leave college,District of Columbia,1490.75
2017,Other job-related reason,South Carolina,5587.23
2017,Retired,Colorado,3168.94
2017,Other reasons,California,34838.24
2017,Retired,Nevada,1372.25
2017,Change in marital status,Wyoming,922.06
2017,Other family reason,Wyoming,1304.1799999999998
2017,Other housing reason,Wyoming,3436.84
2017,Natural disaster,Louisiana,3854.1600000000003
2017,Attend/leave college,Idaho,4032.68
2017,Change in marital status,Arizona,3326.38
2017,Retired,Tennessee,3329.5
2017,Wanted new or better housing,Idaho,3362.54
2017,Wanted new or better housing,Oregon,6864.04
2017,Wanted better neighborhood,Montana,1987.62
2017,Other reasons,Alaska,10596.48
2017,Other housing reason,Hawaii,7022.8099999999995
2017,Other job-related reason,Hawaii,4147.66
2017,Other housing reason,Idaho,3741.95
2017,Foreclosure or eviction,Missouri,10967.69
2017,Other job-related reason,North Carolina,3435.57
2017,To look for work or lost job,Washington,10357.45
2017,To look for work or lost job,Arkansas,3514.02
2017,"Wanted to own home, not rent",Washington,12001.01
2017,Change of climate,New Jersey,10020.22
2017,To look for work or lost job,Colorado,5676.89
2017,For cheaper housing,New Hampshire,4054.1
2017,New job or job transfer,New Hampshire,3877.06
2017,Wanted new or better housing,New Hampshire,14833.92
2017,New job or job transfer,Delaware,20518.85
2017,Other reasons,North Dakota,5140.21
2017,To establish own household,District of Columbia,405.77
2017,For easier commute,Minnesota,440.84
2017,Other job-related reason,Mississippi,944.0600000000001
2017,New job or job transfer,Wyoming,363.38
2017,To look for work or lost job,North Dakota,1042.1
2017,Change of climate,Alaska,2066.75
2017,Other family reason,Nevada,280.59
2017,Attend/leave college,Missouri,528.58
2017,For easier commute,New Hampshire,1617.3
2018,Other family reason,Connecticut,3470.1499999999996
2018,Other family reason,Georgia,61015.43
2018,To establish own household,Nebraska,2977.47
2018,Retired,Maryland,5924.95
2018,Health reasons,Massachusetts,2641.5
2018,Wanted better neighborhood,Massachusetts,1319.45
2018,New job or job transfer,Pennsylvania,31990.84
2018,Other reasons,Colorado,2811.58
2018,New job or job transfer,Massachusetts,26985.64
2018,New job or job transfer,North Carolina,77366
2018,Attend/leave college,Texas,32948.31
2018,Attend/leave college,Massachusetts,3019.43
2018,For easier commute,Massachusetts,1071.04
2018,Other reasons,Kentucky,1548.6
2018,Wanted new or better housing,Kentucky,1284.01
2018,To establish own household,Pennsylvania,6223.14
2018,Retired,Massachusetts,1595.34
2018,Other reasons,Maine,897.6
2018,"Wanted to own home, not rent",Massachusetts,3199.02
2018,For cheaper housing,Massachusetts,1497.35
2018,Other family reason,Idaho,1874.96
2018,New job or job transfer,Arizona,54621.08
2018,To establish own household,Massachusetts,12110.38
2018,Other family reason,Massachusetts,11786.65
2018,Other housing reason,Maine,1598.9
2018,New job or job transfer,New York,84391.4
2018,New job or job transfer,Hawaii,16738.05
2018,Other family reason,Minnesota,3608.17
2018,To look for work or lost job,Massachusetts,1173.02
2018,New job or job transfer,Virginia,52926.02
2018,Other reasons,New Mexico,794.77
2018,Wanted better neighborhood,New York,1180.07
2018,"Wanted to own home, not rent",New Hampshire,3646.7799999999997
2018,New job or job transfer,Florida,95985.54000000001
2018,Change in marital status,Florida,20301.4
2018,Other family reason,California,102576.15
2018,New job or job transfer,Utah,21152.28
2018,To establish own household,New York,6840.74
2018,"Wanted to own home, not rent",Rhode Island,4483.6
2018,New job or job transfer,Connecticut,22677.8
2018,Attend/leave college,Virginia,8474.96
2018,New job or job transfer,New Hampshire,8012.5199999999995
2018,New job or job transfer,Maine,7792.33
2018,New job or job transfer,New Jersey,12651.25
2018,Attend/leave college,New York,18557.420000000002
2018,Attend/leave college,California,12501.220000000001
2018,Other family reason,Michigan,26892.9
2018,Attend/leave college,Pennsylvania,17177.18
2018,Change in marital status,Ohio,17868.98
2018,Other reasons,New York,6436.97
2018,Change in marital status,Massachusetts,8122.33
2018,Natural disaster,New York,1882.24
2018,Change in marital status,Connecticut,950.64
2018,"Wanted to own home, not rent",New York,24000.46
2018,Other job-related reason,Massachusetts,2096.32
2018,Other reasons,Massachusetts,977.68
2018,Health reasons,New Hampshire,1262.58
2018,Other housing reason,New Hampshire,1768.42
2018,Other family reason,New Hampshire,2302.49
2018,Wanted new or better housing,New Hampshire,20698.58
2018,Change in marital status,California,14326.96
2018,Other family reason,Florida,78551.25
2018,To establish own household,Rhode Island,3024.07
2018,New job or job transfer,Colorado,31685.36
2018,New job or job transfer,Minnesota,19503.5
2018,New job or job transfer,Kentucky,9703.36
2018,For cheaper housing,Pennsylvania,30155.69
2018,To look for work or lost job,Michigan,3311.73
2018,Other family reason,Mississippi,15180.449999999999
2018,New job or job transfer,Oklahoma,13299.85
2018,For easier commute,Connecticut,5180.21
2018,To look for work or lost job,California,20304.05
2018,Other reasons,District of Columbia,4332.32
2018,"Wanted to own home, not rent",New Jersey,4850.15
2018,Attend/leave college,Florida,19247.5
2018,Health reasons,New Jersey,2102.34
2018,Other housing reason,Florida,13184.029999999999
2018,New job or job transfer,California,168759.84
2018,New job or job transfer,District of Columbia,22177.82
2018,Other family reason,Virginia,28658.47
2018,Wanted better neighborhood,Virginia,3388.96
2018,Other family reason,South Carolina,22347.42
2018,Change in marital status,New York,1986.07
2018,To establish own household,Connecticut,4559.73
2018,Change in marital status,Texas,5054.66
2018,Other family reason,Nevada,65360.97
2018,Other reasons,Florida,15349.56
2018,Health reasons,Virginia,6414.7
2018,Other family reason,New York,27579.07
2018,Foreclosure or eviction,Colorado,2103.71
2018,Other family reason,Colorado,39928.38
2018,"Wanted to own home, not rent",Pennsylvania,4886.14
2018,Change in marital status,Maryland,3613.31
2018,New job or job transfer,Maryland,33764.8
2018,To establish own household,Florida,4427.23
2018,To look for work or lost job,New Jersey,22979.32
2018,New job or job transfer,Ohio,45490.32
2018,To establish own household,Ohio,24752.219999999998
2018,To establish own household,New Jersey,5278.29
2018,Attend/leave college,Michigan,17565.31
2018,Other reasons,New Jersey,7747.02
2018,For cheaper housing,New York,47294.3
2018,New job or job transfer,Kansas,40299.83
2018,Wanted new or better housing,Kansas,4417.1
2018,Other family reason,Ohio,21954.62
2018,Other family reason,Wisconsin,11140.26
2018,Wanted new or better housing,Wisconsin,6693.03
2018,Other family reason,Washington,20664.56
2018,Wanted new or better housing,Washington,11204.7
2018,Other reasons,Utah,4284.14
2018,To look for work or lost job,Colorado,6133.83
2018,New job or job transfer,Wisconsin,15937.01
2018,For easier commute,Kentucky,17005.989999999998
2018,Other reasons,Virginia,9355.619999999999
2018,To establish own household,Wisconsin,9198.77
2018,Attend/leave college,District of Columbia,2845.66
2018,For cheaper housing,Oregon,6468.42
2018,Wanted new or better housing,Virginia,4383.4400000000005
2018,Attend/leave college,Georgia,9098.300000000001
2018,Retired,North Carolina,10991.7
2018,Wanted better neighborhood,North Carolina,6591.14
2018,Wanted better neighborhood,California,10407.44
2018,To establish own household,Washington,1835.7
2018,New job or job transfer,Indiana,27403.14
2018,Attend/leave college,Kansas,30792.96
2018,Other family reason,Tennessee,10286.480000000001
2018,Other reasons,Illinois,8635.69
2018,New job or job transfer,Texas,90956.72
2018,Other family reason,Oklahoma,17783.21
2018,For cheaper housing,Texas,11245.27
2018,To look for work or lost job,Texas,13756.130000000001
2018,To establish own household,California,31982.35
2018,Other family reason,Illinois,16955.7
2018,Other family reason,Indiana,39179.54
2018,Other family reason,Nebraska,8652.630000000001
2018,To look for work or lost job,Indiana,15798.79
2018,Other housing reason,California,29054.899999999998
2018,For easier commute,California,7376.84
2018,Attend/leave college,Vermont,2233.44
2018,Change in marital status,Wisconsin,4456.29
2018,Other family reason,Missouri,19911.95
2018,Other family reason,Texas,38830.46
2018,New job or job transfer,Nevada,26587.11
2018,For easier commute,New York,31923.67
2018,Other reasons,Ohio,14130.91
2018,Other reasons,Michigan,19746.67
2018,To look for work or lost job,Montana,13653.34
2018,Attend/leave college,Illinois,12554.060000000001
2018,Wanted new or better housing,California,38318.409999999996
2018,Other family reason,Iowa,47468.869999999995
2018,New job or job transfer,Delaware,10040.14
2018,Retired,Texas,9705.09
2018,Other job-related reason,New York,19917.670000000002
2018,To establish own household,Kansas,5312.82
2018,New job or job transfer,Michigan,27877.34
2018,Other family reason,North Carolina,34162.3
2018,Wanted new or better housing,Michigan,4724.75
2018,Attend/leave college,Colorado,2744.82
2018,For cheaper housing,Colorado,1062.57
2018,For easier commute,Colorado,5186.389999999999
2018,To establish own household,Minnesota,3521.35
2018,Retired,Ohio,2226.56
2018,For easier commute,Ohio,8939.35
2018,Change in marital status,Arkansas,5368.360000000001
2018,Attend/leave college,Iowa,6747.59
2018,For easier commute,Iowa,4981
2018,Other job-related reason,Iowa,3159.74
2018,Wanted better neighborhood,Iowa,6626.52
2018,New job or job transfer,South Carolina,15791.76
2018,Health reasons,Florida,8413.29
2018,New job or job transfer,Illinois,52070.24
2018,Other family reason,Alaska,11897.63
2018,Health reasons,Texas,6641.45
2018,Wanted new or better housing,Arizona,857.54
2018,New job or job transfer,Oregon,47563.67
2018,New job or job transfer,Alabama,20832.81
2018,New job or job transfer,Alaska,10303.32
2018,For easier commute,North Carolina,8796.52
2018,"Wanted to own home, not rent",North Carolina,440.9
2018,Other family reason,Wyoming,2910.45
2018,New job or job transfer,Montana,9928.08
2018,New job or job transfer,Idaho,28483.78
2018,Other housing reason,Minnesota,1013.96
2018,To look for work or lost job,Minnesota,348.94
2018,For easier commute,Wisconsin,568.79
2018,Health reasons,Wisconsin,899.21
2018,Change in marital status,New Jersey,665.1899999999999
2018,Change in marital status,Arizona,213.79
2018,New job or job transfer,North Dakota,21910.89
