City,State,Population
Kenosha,Wisconsin,100164.0
Gillette,Wyoming,31903.0
Tuscaloosa,Alabama,"99,600[2]"
Sitka,Alaska,8647
Pava'ia'i,American Samoa,2450
Scottsdale,Arizona,255310
Jonesboro,Arkansas,78576
Fresno,California,530093
Lakewood,Colorado,156798
Waterbury,Connecticut,114403
Smyrna,Delaware,11580
St. Petersburg,Florida,258308
Savannah,Georgia,147780
Barrigada,Guam,8875
Kailua1,Hawaii,38635
Caldwell,Idaho,56541
Rockford,Illinois,146526
Carmel,Indiana,99329
Iowa City,Iowa,76290
Topeka,Kansas,125904
Covington,Kentucky,40366
Lake Charles,Louisiana,78001
Auburn,Maine,23196
Waldorf,Maryland,78904
Lowell,Massachusetts,111670
Ann Arbor,Michigan,121890
Bloomington,Minnesota,85578
Hattiesburg,Mississippi,45951
Independence,Missouri,116925
Butte,Montana,34284
Kearney,Nebraska,33761
Paradise,Nevada,219178
Rochester,New Hampshire,31366
Edison,New Jersey,100008
Roswell,New Mexico,47635
Syracuse,New York,148620
Winston-Salem,North Carolina,248232
West Fargo,North Dakota,36566
Akron,Ohio,198006
Edmond,Oklahoma,93127
Hillsboro,Oregon,108389
Reading,Pennsylvania,88495
Caguas,Puerto Rico,124434
East Providence,Rhode Island,47476
Rock Hill,South Carolina,74372
Watertown,South Dakota,22655
Clarksville,Tennessee,163648
Fort Worth,Texas,902938
Orem,Utah,97521
Bennington,Vermont,15333
Southcentral3,Virgin Islands (U.S.),3277
Arlington,Virginia,224906
Bellevue,Washington,147599
Wheeling,West Virginia,26771
Racine,Wisconsin,77432
Rock Springs,Wyoming,23082
